75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /LMMP/rest/dbxml/resources?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 2827 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 596 3079
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /LMMPUI/LMMP_CLIENT/config/basemap.xml?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 232 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 608 565
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /LMMPUI/LMMP_CLIENT/config/npBasemap.xml?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 178 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 610 511
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /LMMPUI/LMMP_CLIENT/config/spBasemap.xml?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 178 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 610 511
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
127.0.0.1 - - [25/Sep/2015:20:01:37 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
127.0.0.1 - - [25/Sep/2015:20:01:37 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1366 1551
127.0.0.1 - - [25/Sep/2015:20:01:37 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [25/Sep/2015:20:01:37 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1366 1551
127.0.0.1 - - [25/Sep/2015:20:01:37 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [25/Sep/2015:20:01:37 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1366 1551
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /LMMP/rest/dbxml/layers?proj=IAU2000:30118&visOnly=true&sort=Mission%2Ctitle&iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 44040 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 699 44328
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /LMMP/rest/dbxml/layers?proj=IAU2000:30120&visOnly=true&sort=Mission%2Ctitle&iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 46095 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 699 46384
75.82.100.13 - - [25/Sep/2015:20:01:39 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
75.82.100.13 - - [25/Sep/2015:20:01:39 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
127.0.0.1 - - [25/Sep/2015:20:01:39 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [25/Sep/2015:20:01:39 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1366 1551
127.0.0.1 - - [25/Sep/2015:20:01:39 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [25/Sep/2015:20:01:39 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1366 1551
75.82.100.13 - - [25/Sep/2015:20:01:39 -0400] "GET /LMMP/rest/dbxml/layers/int?proj=IAU2000:30118&sort=Mission%2Ctitle&iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 8314 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 690 8569
75.82.100.13 - - [25/Sep/2015:20:01:39 -0400] "GET /LMMP/rest/dbxml/layers/int?proj=IAU2000:30120&sort=Mission%2Ctitle&iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 9412 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 690 9668
127.0.0.1 - - [25/Sep/2015:20:01:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [25/Sep/2015:20:01:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 182
75.82.100.13 - - [25/Sep/2015:20:01:37 -0400] "GET /LMMP/rest/dbxml/layers?proj=IAU2000:30100&visOnly=true&sort=Mission%2Ctitle&iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 831579 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 699 832636
75.82.100.13 - - [25/Sep/2015:20:01:44 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
127.0.0.1 - - [25/Sep/2015:20:01:44 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 767
127.0.0.1 - - [25/Sep/2015:20:01:44 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1366 1551
75.82.100.13 - - [25/Sep/2015:20:01:44 -0400] "GET /LMMP/rest/dbxml/layers/int?proj=IAU2000:30100&sort=Mission%2Ctitle&iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 349706 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 690 350291
75.82.100.13 - - [25/Sep/2015:20:01:46 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
75.82.100.13 - - [25/Sep/2015:20:01:47 -0400] "GET /LMMPUI/LMMP_CLIENT/sampleData/emptyLayer.xml?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 19 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 615 350
75.82.100.13 - - [25/Sep/2015:20:01:47 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
75.82.100.13 - - [25/Sep/2015:20:01:47 -0400] "GET /LMMPUI/LMMP_CLIENT/sampleData/nomenclature.xml HTTP/1.1" 200 1725 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 522 2061
75.82.100.13 - - [25/Sep/2015:20:01:47 -0400] "GET /LMMPUI/LMMP_CLIENT/sampleData/graticule.xml HTTP/1.1" 200 1234 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 519 1570
75.82.100.13 - - [25/Sep/2015:20:01:47 -0400] "GET /LMMPUI/LMMP_CLIENT/config/searchResultFields.xml HTTP/1.1" 200 1711 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 524 2046
75.82.100.13 - - [25/Sep/2015:20:01:47 -0400] "GET /LMMPUI/LMMP_CLIENT/config/nomenclatureType.xml HTTP/1.1" 200 691 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 522 1024
75.82.100.13 - - [25/Sep/2015:20:01:47 -0400] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfczGKw1K%2BM%2FaFHBjXqqbFFnIXaSKOqeAFNs%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36" 600 170
