66.249.66.188 - - [17/May/2016:20:13:30 -0400] "GET /LMMPUI/LMMP_CLIENT/index_m.html HTTP/1.1" 200 4998 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 451 5328
127.0.0.1 - - [17/May/2016:20:13:32 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:13:48 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:14:02 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:14:18 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.66.188 - - [17/May/2016:20:14:19 -0400] "GET /redmine/projects/lmmpwiki/activity?from=1944-02-05 HTTP/1.1" 200 4829 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 344 5391
185.25.151.159 - - [17/May/2016:20:14:23 -0400] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 404 211 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0" 340 400
127.0.0.1 - - [17/May/2016:20:14:32 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:14:48 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:15:02 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:15:18 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:15:32 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
50.84.161.66 - - [17/May/2016:20:15:36 -0400] "GET /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 9400 "http://ode.rsl.wustl.edu/moon/pagehelp/quickstartguide/web_sites.htm" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 475 9730
