127.0.0.1 - - [29/Apr/2015:20:15:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:16:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:16:13 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2024 "-" "Java/1.5.0_21" 713 2202
127.0.0.1 - - [29/Apr/2015:20:16:13 -0400] "GET /opensso/identity//xml/read?name=TomcatApps3&attributes_names=realm&attributes_values_realm=%2Fappspub&attributes_names=objecttype&attributes_values_objecttype=Agent&admin=AQIC5wM2LY4Sfcwfuin4GF3PcpsYz2%2Bb0KEYXSwMUvZPjqA%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13732 "-" "Java/1.5.0_21" 442 13916
127.0.0.1 - - [29/Apr/2015:20:16:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 182
137.78.207.218 - - [29/Apr/2015:20:16:36 -0400] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
137.78.207.218 - - [29/Apr/2015:20:16:36 -0400] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
127.0.0.1 - - [29/Apr/2015:20:16:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:16:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:17:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:17:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:17:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:17:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:18:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:18:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:18:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:18:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.64.228 - - [29/Apr/2015:20:18:59 -0400] "GET /redmine/activity?from=1992-05-29 HTTP/1.1" 200 5345 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 323 5907
127.0.0.1 - - [29/Apr/2015:20:19:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:19:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:19:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:19:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:20:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:20:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:20:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:20:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:21:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:21:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
137.78.207.218 - - [29/Apr/2015:20:21:36 -0400] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
137.78.207.218 - - [29/Apr/2015:20:21:36 -0400] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
127.0.0.1 - - [29/Apr/2015:20:21:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:21:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:22:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:22:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:22:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:22:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.64.218 - - [29/Apr/2015:20:22:46 -0400] "GET /redmine/issues/gantt?month=6&months=6&year=1769&zoom=1 HTTP/1.1" 200 27581 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 345 28271
127.0.0.1 - - [29/Apr/2015:20:23:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:23:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:23:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:23:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:24:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:24:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:24:42 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2023 "-" "Java/1.5.0_21" 712 2201
127.0.0.1 - - [29/Apr/2015:20:24:42 -0400] "GET /opensso/identity//xml/read?name=TomcatApps1&attributes_names=realm&attributes_values_realm=%2Fappspub&attributes_names=objecttype&attributes_values_objecttype=Agent&admin=AQIC5wM2LY4SfcyRautyD4RKpwbzv6XrE24fIq8LDPQGnm0%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13607 "-" "Java/1.5.0_21" 440 13791
127.0.0.1 - - [29/Apr/2015:20:24:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 182
127.0.0.1 - - [29/Apr/2015:20:24:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:25:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:25:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:25:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:25:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:26:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:26:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.64.218 - - [29/Apr/2015:20:26:33 -0400] "GET /redmine/issues/gantt?month=4&months=6&year=1769&zoom=1 HTTP/1.1" 200 27570 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 345 28259
137.78.207.218 - - [29/Apr/2015:20:26:36 -0400] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
137.78.207.218 - - [29/Apr/2015:20:26:36 -0400] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
127.0.0.1 - - [29/Apr/2015:20:26:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:26:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:27:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:27:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:27:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:27:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
157.55.39.194 - - [29/Apr/2015:20:27:53 -0400] "GET /redmine/projects/lmmpwiki/wiki/NomenclatureSearch HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 372 400
127.0.0.1 - - [29/Apr/2015:20:28:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:28:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:28:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:28:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:29:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:29:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:29:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:29:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:30:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:30:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.64.218 - - [29/Apr/2015:20:30:20 -0400] "GET /redmine/issues/gantt?month=1&months=6&year=1769&zoom=2 HTTP/1.1" 200 30882 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 345 31571
180.76.5.146 - - [29/Apr/2015:20:30:31 -0400] "GET /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 8973 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" 247 9266
127.0.0.1 - - [29/Apr/2015:20:30:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:30:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:31:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:31:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
137.78.207.218 - - [29/Apr/2015:20:31:36 -0400] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
137.78.207.218 - - [29/Apr/2015:20:31:36 -0400] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
127.0.0.1 - - [29/Apr/2015:20:31:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:31:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:32:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:32:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:32:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:32:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:33:12 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:33:13 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:33:42 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [29/Apr/2015:20:33:43 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.64.223 - - [29/Apr/2015:20:34:07 -0400] "GET /redmine/activity?from=1862-12-15&show_messages=1 HTTP/1.1" 200 5385 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 339 5947
