66.249.79.235 - - [01/Jul/2016:00:56:40 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&height=1000&width=1000&bbox=4.0499333958832,44.006110353469,4.2378446055864,44.141114546478&format=image/jpeg&styles=pseudo HTTP/1.1" 404 205 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 478 456
100.64.33.175 - - [01/Jul/2016:00:56:47 +0000] "HEAD /OnEarth_GM_Visual.kml HTTP/1.1" 404 - "-" "python-requests/2.7.0 CPython/2.7.11 Linux/3.10.0-327.4.5.el7.x86_64" 219 230
104.197.145.181 - - [01/Jul/2016:00:57:51 +0000] "GET /wms.cgi?REQUEST=GetTileService&SERVICE=WMS HTTP/1.1" 404 205 "-" "-" 124 400
104.197.145.181 - - [01/Jul/2016:00:57:51 +0000] "GET /wms.cgi?request=GetTileService HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 153 419
100.64.33.175 - - [01/Jul/2016:00:58:33 +0000] "HEAD /OnEarth_BMNG.kml HTTP/1.1" 404 - "-" "python-requests/2.7.0 CPython/2.7.11 Linux/3.10.0-327.4.5.el7.x86_64" 214 230
41.185.64.22 - - [01/Jul/2016:00:58:46 +0000] "GET /wordpress/wp-admin/ HTTP/1.1" 404 217 "-" "-" 84 431
192.148.213.60 - - [01/Jul/2016:00:58:55 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
192.148.213.60 - - [01/Jul/2016:00:58:56 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.3.0 HTTP/1.1" 404 205 "-" "-" 191 455
68.180.228.251 - - [01/Jul/2016:01:01:15 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&height=1000&width=1000&bbox=4.817039955703,45.58666394062,5.010182432509,45.721668133629&format=image/jpeg&styles=pseudo HTTP/1.1" 404 205 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" 357 400
193.51.249.230 - - [01/Jul/2016:01:01:53 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
68.180.228.251 - - [01/Jul/2016:01:04:48 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&height=1000&width=1000&bbox=-1.8033550632782,46.896663487919,-1.6055338630957,47.031667680928&format=image/jpeg&styles=pseudo HTTP/1.1" 404 205 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" 362 400
213.185.86.107 - - [01/Jul/2016:01:10:25 +0000] "GET /wp/wp-admin/ HTTP/1.1" 404 210 "-" "-" 77 424
192.148.213.60 - - [01/Jul/2016:01:13:11 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
94.136.40.75 - - [01/Jul/2016:01:16:37 +0000] "GET /old/wp-admin/ HTTP/1.1" 404 211 "-" "-" 78 425
193.51.249.230 - - [01/Jul/2016:01:16:52 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
146.148.85.29 - - [01/Jul/2016:01:16:55 +0000] "GET /wms.cgi?REQUEST=GetTileService&SERVICE=WMS HTTP/1.1" 404 205 "-" "-" 124 400
146.148.85.29 - - [01/Jul/2016:01:16:55 +0000] "GET /wms.cgi?request=GetTileService HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 153 419
140.109.160.8 - - [01/Jul/2016:01:21:38 +0000] "GET /OnEarth_DailyPlanet.kml HTTP/1.1" 404 221 "-" "-" 82 416
140.109.160.8 - - [01/Jul/2016:01:21:38 +0000] "GET /OnEarth_DailyAfternoon.kml HTTP/1.1" 404 224 "-" "-" 85 419
192.148.213.60 - - [01/Jul/2016:01:27:26 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
192.148.213.60 - - [01/Jul/2016:01:27:26 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.3.0 HTTP/1.1" 404 205 "-" "-" 191 456
100.64.33.175 - - [01/Jul/2016:01:28:04 +0000] "HEAD /KML.html HTTP/1.1" 404 - "-" "python-requests/2.7.0 CPython/2.7.11 Linux/3.10.0-327.4.5.el7.x86_64" 206 230
46.118.3.42 - - [01/Jul/2016:01:28:14 +0000] "GET /wms.cgi?VERSION=1.1.1&SERVICE=WMS&REQUEST=GetCapabilities HTTP/1.1" 404 205 "-" "Apache-HttpClient/4.0-beta2 (java 1.5)" 179 456
193.51.249.230 - - [01/Jul/2016:01:31:53 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
66.249.79.235 - - [01/Jul/2016:01:40:30 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&height=1000&width=1000&bbox=7.7178031681691,48.730275579359,7.9227528752293,48.865279772368&format=image/jpeg&styles=pseudo HTTP/1.1" 404 205 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 478 456
192.148.213.60 - - [01/Jul/2016:01:41:40 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
74.208.72.163 - - [01/Jul/2016:01:44:18 +0000] "GET / HTTP/1.1" 200 9327 "-" "Mozilla/4.0 (compatible; MSIE 5.0; Windows NT; DigExt; DTS Agent" 260 9619
193.51.249.230 - - [01/Jul/2016:01:46:55 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
87.101.195.54 - - [01/Jul/2016:01:49:40 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic_base&styles=IR1&srs=EPSG:4326&format=image/png&bbox=31.500000,18.000000,32.000000,18.500000&width=2000&height=2000 HTTP/1.1" 404 205 "-" "JOSM/1.5 (10327 en) Linux Ubuntu 16.04 LTS Java/1.8.0_91" 360 456
87.101.195.54 - - [01/Jul/2016:01:52:39 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic_base&styles=IR1&srs=EPSG:4326&format=image/png&bbox=31.500000,18.000000,32.000000,18.500000&width=2000&height=2000 HTTP/1.1" 404 205 "-" "JOSM/1.5 (10327 en) Linux Ubuntu 16.04 LTS Java/1.8.0_91" 360 456
95.46.162.251 - - [01/Jul/2016:01:53:47 +0000] "GET /wms.cgi?VERSION=1.1.1&SERVICE=WMS&REQUEST=GetCapabilities HTTP/1.1" 404 205 "-" "Apache-HttpClient/4.0-beta2 (java 1.5)" 179 456
192.148.213.60 - - [01/Jul/2016:01:55:55 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
192.148.213.60 - - [01/Jul/2016:01:55:56 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.3.0 HTTP/1.1" 404 205 "-" "-" 191 455
193.51.249.230 - - [01/Jul/2016:02:02:01 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
89.111.188.176 - - [01/Jul/2016:02:03:54 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.5,44.5,-76.375,44.625 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 258 419
89.111.188.176 - - [01/Jul/2016:02:03:54 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.375,44.5,-76.25,44.625 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:54 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.75,44.5,-76.625,44.625 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:55 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.75,44.375,-76.625,44.5 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:55 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.125,44.25,-76.0,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:55 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.0,44.25,-75.875,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-75.625,44.25,-75.5,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-75.5,44.25,-75.375,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-75.375,44.25,-75.25,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
89.111.188.176 - - [01/Jul/2016:02:03:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.75,44.25,-76.625,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
89.111.188.176 - - [01/Jul/2016:02:03:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.5,44.125,-76.375,44.25 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.375,44.125,-76.25,44.25 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
89.111.188.176 - - [01/Jul/2016:02:03:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.75,44.125,-76.625,44.25 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
89.111.188.176 - - [01/Jul/2016:02:03:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-75.25,44.25,-75.125,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
89.111.188.176 - - [01/Jul/2016:02:03:58 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.5,44.0,-76.375,44.125 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 258 419
89.111.188.176 - - [01/Jul/2016:02:03:58 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.375,44.0,-76.25,44.125 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:59 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.75,44.0,-76.625,44.125 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:59 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.5,43.875,-76.375,44.0 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 258 419
89.111.188.176 - - [01/Jul/2016:02:03:59 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.375,43.875,-76.25,44.0 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:03:59 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-75.75,43.875,-75.625,44.0 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:04:00 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-75.375,43.875,-75.25,44.0 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 259 419
89.111.188.176 - - [01/Jul/2016:02:04:09 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.5,44.375,-76.4375,44.4375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 262 419
89.111.188.176 - - [01/Jul/2016:02:04:09 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.5625,44.375,-76.5,44.4375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 262 419
217.11.128.2 - - [01/Jul/2016:02:04:09 +0000] "GET / HTTP/1.1" 200 9327 "http://onearth.jpl.nasa.gov/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" 388 9656
89.111.188.176 - - [01/Jul/2016:02:04:10 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.1875,44.375,-76.125,44.4375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 264 419
89.111.188.176 - - [01/Jul/2016:02:04:10 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.125,44.375,-76.0625,44.4375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 264 419
89.111.188.176 - - [01/Jul/2016:02:04:10 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.0625,44.375,-76.0,44.4375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 262 419
89.111.188.176 - - [01/Jul/2016:02:04:10 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-75.9375,44.375,-75.875,44.4375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 264 419
89.111.188.176 - - [01/Jul/2016:02:04:10 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.5625,44.3125,-76.5,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 262 419
89.111.188.176 - - [01/Jul/2016:02:04:10 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.5,44.3125,-76.4375,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 262 419
89.111.188.176 - - [01/Jul/2016:02:04:11 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-76.0625,44.3125,-76.0,44.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 262 419
