75.62.149.154 - - [08/Oct/2014:20:07:55 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=https://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/abstract?label=LP_GRS_Fe_Clr_Global_2ppd HTTP/1.1" 302 - "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 304 979
127.0.0.1 - - [08/Oct/2014:20:08:00 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2393 "-" "Java/1.5.0_21" 815 2571
127.0.0.1 - - [08/Oct/2014:20:08:00 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 269 "-" "Java/1.5.0_21" 881 446
127.0.0.1 - - [08/Oct/2014:20:08:00 -0400] "POST /opensso/policyservice HTTP/1.1" 200 7691 "-" "Java/1.5.0_21" 1117 7869
127.0.0.1 - - [08/Oct/2014:20:08:00 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:08:00 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
127.0.0.1 - - [08/Oct/2014:20:08:10 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
75.62.149.154 - - [08/Oct/2014:20:08:00 -0400] "GET /LMMP/rest/dbxml/fgdc/abstract?label=LP_GRS_Fe_Clr_Global_2ppd&iPlanetDirectoryPro=AQIC5wM2LY4SfczEkFNde6LHHwq5EGtAV7a7Xl%2B%2BquyfJlE%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 1369 "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 840 1939
127.0.0.1 - - [08/Oct/2014:20:08:14 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
75.62.149.154 - - [08/Oct/2014:20:08:26 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=http://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/legend/stream?label=LP_GRS_K_Clr_Global_halfppd HTTP/1.1" 302 - "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 310 983
